count2019, Source_Name, RA, Dec, Velo, Date-Obs, Tsys, Int, Rms1, Vlo1, Vhi1, Rms2, Vlo2, Vhi2
4848,J144407+180045,221.03,18.0126,9644,2013-05-02,51.7,10,5.5,8214,11087,?,?,?
4849,144416+570617,221.069,57.105,11351,2007-01-18,35.8,10,3.2,9906,12810,3.4,12517,15471
4850,144434+085613,221.143,8.93706,8358,2008-02-03,43.5,10,4.0,6940,9789,3.7,9502,12398
4851,144444.2+222617,221.184,22.4381,9739,2012-02-28,39.5,10,4.1,8308,11183,?,?,?
4852,144452+002156,221.217,0.365806,11092,2008-04-03,49.8,15,3.6,9649,12548,3.4,12256,15205
4853,NGC-5746,221.233,1.95469,1720,2005-10-02,126.9,5,17.8,1584,4333,19.0,-848,1856
4854,144457-234740,221.238,-23.7944,3258,2009-01-21,42.7,10,4.1,1887,4642,3.7,4364,7165
4855,AGC241051,221.27,16.5366,8987,2003-03-15,35.1,35,1.8,7563,10423,?,?,?
4856,1445157+3718016,221.315,37.3004,9608,2010-11-29,38.7,10,3.7,8179,11050,3.4,10761,13681
4857,NGC5754,221.332,38.7311,4561,2010-01-11,29.9,10,2.7,3178,5956,2.3,5677,8502
4858,144532-010920,221.384,-1.15581,12291,2008-04-03,51.1,15,3.7,10837,13759,5.3,13464,16436
4859,2MASXJ14453447+,221.394,28.8628,15970,2013-12-20,46.3,5,6.9,14481,17472,?,?,?
4860,2MASXiJ1445368+,221.403,27.0347,8963,2009-12-16,27.7,10,2.6,7540,10399,2.4,10111,13019
4861,IC-1056,221.454,50.3941,4013,2008-03-10,69.5,10,6.7,2635,5404,6.7,5125,7939
4862,144611-001322,221.546,-0.222917,1655,2006-10-15,45.9,10,4.5,298,3024,4.2,2750,5521
4863,MRK0822,221.562,16.0959,16249,2013-12-20,47.6,10,4.8,14758,17754,?,?,?
4864,144630+621201,221.628,62.2004,11382,2007-01-18,32.4,10,3.1,9936,12841,2.8,12548,15502
4865,J144714+161702,221.808,16.2841,10195,2013-05-02,51.1,10,5.4,8760,11643,?,?,?
4866,144728+010133,221.869,1.02586,10712,2006-10-15,41.3,10,3.8,9272,12165,3.8,11873,14815
4867,144734.6+200756,221.894,20.1323,12918,2012-11-29,34.1,9,125.7,11458,14391,?,?,?
4868,UGC09532NED01,221.972,19.0769,12506,2005-02-01,28.3,32,1.9,12155,15102,?,?,?
4869,2MASXJ14481981+,222.082,9.11689,8754,2009-12-16,28.6,10,2.6,7333,10188,2.3,9901,12805
4870,144837+514331,222.154,51.7253,10923,2006-10-14,33.0,10,2.8,9481,12378,2.8,12086,15031
4871,MRK824,222.262,21.3333,4643,2010-01-29,34.2,10,3.2,3259,6039,2.9,5759,8586
4872,3C305,222.34,63.2705,12483,2004-01-23,27.7,20,1.7,11027,13952,?,?,?
4873,145017.5-003901,222.573,-0.650167,12815,2012-02-28,37.1,10,3.8,11356,14287,?,?,?
4874,145024.1+043655,222.6,4.61536,14046,2012-12-11,43.5,10,4.5,12575,15530,?,?,?
4875,145024+043655,222.601,4.61539,14090,2008-04-07,46.4,10,4.1,12619,15575,3.8,15277,18283
4876,Mrk1388,222.657,22.7342,6400,2003-03-07,28.9,30,1.7,5000,7812,?,?,?
4877,MRK828,222.682,42.7675,5560,2010-01-11,29.3,10,2.6,4168,6965,2.4,6683,9527
4878,NGC5765a,222.711,5.11942,8469,2012-02-26,46.4,5,7.0,7050,9901,?,?,?
4879,NGC5765,222.713,5.11694,8345,2012-02-21,47.6,10,5.5,6927,9775,?,?,?
